aggregator, node_id: 3, sample: 45.317, missed_samples: 0 , time: 443585350 #
aggregator, node_id: 3, sample: 40.693, missed_samples: 0 , time: 448396686 #
aggregator, node_id: 2, sample: 8.439, missed_samples: 0 , time: 448529365 #
aggregator, node_id: 3, sample: 36.452, missed_samples: 0 , time: 452896694 #
aggregator, node_id: 2, sample: 62.890, missed_samples: 0 , time: 453701378 #
aggregator, node_id: 3, sample: 66.150, missed_samples: 0 , time: 458701368 #
aggregator, node_id: 2, sample: 52.934, missed_samples: 0 , time: 458982647 #
aggregator, node_id: 3, sample: 44.969, missed_samples: 0 , time: 463404493 #
aggregator, node_id: 2, sample: 26.584, missed_samples: 0 , time: 463826366 #
aggregator, node_id: 3, sample: 41.121, missed_samples: 0 , time: 468748247 #
aggregator, node_id: 2, sample: 57.850, missed_samples: 1 , time: 469769465 #
aggregator, node_id: 3, sample: 47.242, missed_samples: 0 , time: 473115424 #
aggregator, node_id: 2, sample: 36.307, missed_samples: 0 , time: 475076374 #
aggregator, node_id: 3, sample: 48.645, missed_samples: 0 , time: 478740412 #
aggregator, node_id: 2, sample: 77.679, missed_samples: 0 , time: 480474806 #
aggregator, node_id: 3, sample: 66.290, missed_samples: 0 , time: 483365426 #
aggregator, node_id: 2, sample: 62.076, missed_samples: 0 , time: 484880972 #
aggregator, node_id: 3, sample: 59.907, missed_samples: 0 , time: 489263857 #
aggregator, node_id: 2, sample: 30.577, missed_samples: 0 , time: 490420129 #
aggregator, node_id: 3, sample: 65.001, missed_samples: 0 , time: 494044943 #
aggregator, node_id: 2, sample: 37.482, missed_samples: 0 , time: 495120908 #
aggregator, node_id: 3, sample: 55.294, missed_samples: 0 , time: 499552933 #
aggregator, node_id: 2, sample: 72.612, missed_samples: 0 , time: 499990424 #
aggregator, node_id: 3, sample: 40.473, missed_samples: 0 , time: 505349794 #
aggregator, node_id: 2, sample: 8.677, missed_samples: 0 , time: 505824809 #
aggregator, node_id: 3, sample: 65.892, missed_samples: 0 , time: 510068525 #
aggregator, node_id: 2, sample: 65.839, missed_samples: 0 , time: 510771674 #
aggregator, node_id: 3, sample: 77.163, missed_samples: 0 , time: 514482611 #
aggregator, node_id: 2, sample: 37.601, missed_samples: 0 , time: 514843325 #
aggregator, node_id: 3, sample: 43.544, missed_samples: 0 , time: 519099818 #
aggregator, node_id: 2, sample: 59.178, missed_samples: 0 , time: 519834183 #
aggregator, node_id: 2, sample: 37.648, missed_samples: 0 , time: 524077625 #
aggregator, node_id: 3, sample: 22.730, missed_samples: 0 , time: 524521692 #
aggregator, node_id: 2, sample: 60.516, missed_samples: 0 , time: 528529482 #
aggregator, node_id: 3, sample: 88.615, missed_samples: 0 , time: 528920103 #
aggregator, node_id: 2, sample: 10.839, missed_samples: 0 , time: 533217015 #
aggregator, node_id: 3, sample: 21.782, missed_samples: 0 , time: 534529496 #
aggregator, node_id: 2, sample: 48.590, missed_samples: 0 , time: 538787295 #
aggregator, node_id: 3, sample: 41.517, missed_samples: 0 , time: 539388848 #
aggregator, node_id: 2, sample: 55.368, missed_samples: 0 , time: 543068557 #
aggregator, node_id: 3, sample: 53.934, missed_samples: 0 , time: 544943576 #
aggregator, node_id: 2, sample: 59.220, missed_samples: 0 , time: 548998247 #
aggregator, node_id: 3, sample: 65.792, missed_samples: 0 , time: 550655592 #
aggregator, node_id: 2, sample: 17.902, missed_samples: 0 , time: 554560758 #
aggregator, node_id: 3, sample: 57.392, missed_samples: 0 , time: 555396689 #
aggregator, node_id: 2, sample: 85.673, missed_samples: 0 , time: 560193545 #
aggregator, node_id: 3, sample: 50.802, missed_samples: 1 , time: 561171011 #
aggregator, node_id: 2, sample: 65.756, missed_samples: 0 , time: 566084169 #
aggregator, node_id: 3, sample: 34.937, missed_samples: 0 , time: 566904492 #
aggregator, node_id: 2, sample: 62.376, missed_samples: 0 , time: 571896669 #
aggregator, node_id: 3, sample: 54.984, missed_samples: 0 , time: 572302929 #
aggregator, node_id: 3, sample: 30.589, missed_samples: 0 , time: 577435770 #
aggregator, node_id: 2, sample: 32.468, missed_samples: 1 , time: 577451358 #
aggregator, node_id: 2, sample: 43.082, missed_samples: 0 , time: 582099702 #
aggregator, node_id: 3, sample: 87.956, missed_samples: 0 , time: 582607611 #
aggregator, node_id: 2, sample: 50.145, missed_samples: 0 , time: 586154488 #
aggregator, node_id: 3, sample: 41.863, missed_samples: 0 , time: 587123238 #
aggregator, node_id: 2, sample: 66.816, missed_samples: 0 , time: 590863105 #
aggregator, node_id: 3, sample: 64.566, missed_samples: 0 , time: 592474790 #
aggregator, node_id: 2, sample: 50.642, missed_samples: 0 , time: 595318535 #
aggregator, node_id: 3, sample: 59.003, missed_samples: 0 , time: 597732451 #
aggregator, node_id: 2, sample: 53.384, missed_samples: 0 , time: 601013871 #
aggregator, node_id: 3, sample: 47.046, missed_samples: 0 , time: 603615343 #
aggregator, node_id: 2, sample: 43.371, missed_samples: 0 , time: 605076370 #
aggregator, node_id: 3, sample: 50.598, missed_samples: 1 , time: 609592001 #
aggregator, node_id: 2, sample: 77.493, missed_samples: 0 , time: 610670124 #
aggregator, node_id: 2, sample: 66.066, missed_samples: 0 , time: 614948888 #
aggregator, node_id: 3, sample: 54.529, missed_samples: 1 , time: 615232630 #
aggregator, node_id: 2, sample: 44.308, missed_samples: 0 , time: 619263875 #
aggregator, node_id: 3, sample: 54.517, missed_samples: 1 , time: 620920114 #
aggregator, node_id: 2, sample: 52.792, missed_samples: 0 , time: 624193562 #
aggregator, node_id: 3, sample: 44.104, missed_samples: 0 , time: 625068566 #
aggregator, node_id: 2, sample: 46.943, missed_samples: 0 , time: 629115440 #
aggregator, node_id: 3, sample: 80.619, missed_samples: 0 , time: 629513874 #
aggregator, node_id: 2, sample: 61.973, missed_samples: 1 , time: 634740451 #
aggregator, node_id: 3, sample: 60.687, missed_samples: 0 , time: 635373242 #
aggregator, node_id: 3, sample: 51.269, missed_samples: 0 , time: 639670096 #
aggregator, node_id: 2, sample: 61.991, missed_samples: 0 , time: 640097414 #
aggregator, node_id: 3, sample: 69.339, missed_samples: 0 , time: 643787281 #
aggregator, node_id: 2, sample: 61.906, missed_samples: 0 , time: 644131043 #
aggregator, node_id: 3, sample: 56.701, missed_samples: 0 , time: 648802923 #
aggregator, node_id: 2, sample: 69.206, missed_samples: 0 , time: 649545110 #
aggregator, node_id: 3, sample: 10.330, missed_samples: 0 , time: 653521683 #
aggregator, node_id: 2, sample: 41.162, missed_samples: 0 , time: 654420111 #
aggregator, node_id: 3, sample: 27.018, missed_samples: 0 , time: 659185656 #
aggregator, node_id: 2, sample: 42.783, missed_samples: 0 , time: 659724790 #
aggregator, node_id: 2, sample: 44.617, missed_samples: 0 , time: 664302936 #
aggregator, node_id: 3, sample: 42.532, missed_samples: 0 , time: 664452437 #
aggregator, node_id: 3, sample: 37.770, missed_samples: 0 , time: 668592752 #
aggregator, node_id: 2, sample: 35.937, missed_samples: 0 , time: 669193569 #
aggregator, node_id: 2, sample: 43.691, missed_samples: 0 , time: 674224789 #
aggregator, node_id: 3, sample: 46.362, missed_samples: 0 , time: 674451367 #
aggregator, node_id: 3, sample: 45.656, missed_samples: 0 , time: 678537299 #
aggregator, node_id: 2, sample: 41.859, missed_samples: 0 , time: 680271667 #
aggregator, node_id: 3, sample: 46.485, missed_samples: 0 , time: 683210170 #
aggregator, node_id: 2, sample: 38.484, missed_samples: 0 , time: 684568572 #
aggregator, node_id: 3, sample: 53.236, missed_samples: 0 , time: 688779496 #
aggregator, node_id: 2, sample: 23.786, missed_samples: 0 , time: 690529526 #
aggregator, node_id: 3, sample: 36.223, missed_samples: 0 , time: 693513880 #
aggregator, node_id: 2, sample: 41.754, missed_samples: 0 , time: 695568540 #
aggregator, node_id: 3, sample: 22.588, missed_samples: 0 , time: 698138859 #
aggregator, node_id: 2, sample: 87.686, missed_samples: 0 , time: 701138878 #
aggregator, node_id: 3, sample: 48.360, missed_samples: 0 , time: 704154499 #
aggregator, node_id: 2, sample: 77.492, missed_samples: 0 , time: 707089698 #
aggregator, node_id: 3, sample: 81.576, missed_samples: 0 , time: 708529485 #
aggregator, node_id: 2, sample: 70.200, missed_samples: 0 , time: 711185734 #
aggregator, node_id: 3, sample: 51.908, missed_samples: 0 , time: 714069410 #
aggregator, node_id: 2, sample: 45.460, missed_samples: 0 , time: 716506083 #
aggregator, node_id: 3, sample: 21.750, missed_samples: 0 , time: 718123225 #
aggregator, node_id: 2, sample: 67.071, missed_samples: 0 , time: 720966910 #
aggregator, node_id: 3, sample: 78.894, missed_samples: 0 , time: 722631063 #
aggregator, node_id: 2, sample: 60.479, missed_samples: 0 , time: 725967013 #
aggregator, node_id: 3, sample: 84.901, missed_samples: 0 , time: 727146677 #
aggregator, node_id: 2, sample: 61.071, missed_samples: 0 , time: 731873155 #
aggregator, node_id: 3, sample: 58.789, missed_samples: 0 , time: 732818564 #
aggregator, node_id: 2, sample: 42.326, missed_samples: 0 , time: 736105309 #
aggregator, node_id: 3, sample: 79.790, missed_samples: 0 , time: 738305592 #
aggregator, node_id: 2, sample: 67.171, missed_samples: 0 , time: 741810743 #
aggregator, node_id: 3, sample: 37.334, missed_samples: 0 , time: 743841987 #
aggregator, node_id: 2, sample: 52.615, missed_samples: 0 , time: 747558474 #
aggregator, node_id: 3, sample: 58.289, missed_samples: 0 , time: 748318553 #
aggregator, node_id: 2, sample: 58.131, missed_samples: 1 , time: 752781255 #
aggregator, node_id: 3, sample: 57.800, missed_samples: 0 , time: 753474792 #
aggregator, node_id: 2, sample: 54.774, missed_samples: 2 , time: 758677948 #
aggregator, node_id: 3, sample: 88.148, missed_samples: 0 , time: 759341988 #
aggregator, node_id: 2, sample: 51.078, missed_samples: 0 , time: 763568456 #
aggregator, node_id: 3, sample: 43.302, missed_samples: 0 , time: 764209171 #
aggregator, node_id: 3, sample: 70.715, missed_samples: 0 , time: 768310731 #
aggregator, node_id: 2, sample: 46.143, missed_samples: 0 , time: 769318535 #
aggregator, node_id: 3, sample: 55.283, missed_samples: 0 , time: 773381041 #
aggregator, node_id: 2, sample: 79.539, missed_samples: 0 , time: 773552921 #
aggregator, node_id: 3, sample: 62.802, missed_samples: 0 , time: 777498248 #
aggregator, node_id: 2, sample: 72.095, missed_samples: 0 , time: 778646599 #
aggregator, node_id: 3, sample: 47.611, missed_samples: 0 , time: 783138866 #
aggregator, node_id: 2, sample: 40.158, missed_samples: 0 , time: 784334187 #
aggregator, node_id: 3, sample: 51.511, missed_samples: 0 , time: 787811820 #
aggregator, node_id: 2, sample: 69.158, missed_samples: 0 , time: 789763859 #
aggregator, node_id: 3, sample: 67.989, missed_samples: 0 , time: 793404495 #
aggregator, node_id: 2, sample: 51.412, missed_samples: 0 , time: 794881057 #
aggregator, node_id: 3, sample: 39.717, missed_samples: 0 , time: 797795128 #
aggregator, node_id: 2, sample: 62.380, missed_samples: 0 , time: 800013862 #
aggregator, node_id: 3, sample: 47.384, missed_samples: 0 , time: 802420125 #
aggregator, node_id: 2, sample: 41.653, missed_samples: 0 , time: 804843362 #
aggregator, node_id: 3, sample: 35.154, missed_samples: 0 , time: 807615439 #
aggregator, node_id: 2, sample: 20.224, missed_samples: 0 , time: 810443563 #
aggregator, node_id: 3, sample: 25.151, missed_samples: 0 , time: 813310753 #
aggregator, node_id: 2, sample: 46.321, missed_samples: 0 , time: 815167924 #
aggregator, node_id: 3, sample: 59.594, missed_samples: 0 , time: 818279498 #
aggregator, node_id: 2, sample: 78.845, missed_samples: 0 , time: 821050606 #
aggregator, node_id: 3, sample: 65.044, missed_samples: 0 , time: 824037217 #
aggregator, node_id: 2, sample: 29.266, missed_samples: 0 , time: 827006065 #
aggregator, node_id: 3, sample: 43.625, missed_samples: 1 , time: 829873223 #
aggregator, node_id: 2, sample: 64.414, missed_samples: 0 , time: 832894101 #
aggregator, node_id: 3, sample: 54.849, missed_samples: 0 , time: 834927921 #
aggregator, node_id: 2, sample: 77.335, missed_samples: 0 , time: 837285021 #
aggregator, node_id: 3, sample: 68.278, missed_samples: 0 , time: 839841985 #
aggregator, node_id: 2, sample: 41.516, missed_samples: 0 , time: 842302907 #
aggregator, node_id: 3, sample: 46.645, missed_samples: 0 , time: 845045118 #
aggregator, node_id: 2, sample: 32.037, missed_samples: 0 , time: 846740351 #
aggregator, node_id: 3, sample: 71.089, missed_samples: 0 , time: 849724729 #
aggregator, node_id: 2, sample: 83.902, missed_samples: 0 , time: 852568561 #
aggregator, node_id: 3, sample: 39.146, missed_samples: 0 , time: 855146687 #
aggregator, node_id: 2, sample: 36.659, missed_samples: 0 , time: 856904485 #
aggregator, node_id: 3, sample: 63.523, missed_samples: 0 , time: 859756053 #
aggregator, node_id: 2, sample: 53.006, missed_samples: 0 , time: 860959026 #
aggregator, node_id: 3, sample: 39.305, missed_samples: 0 , time: 865240433 #
aggregator, node_id: 2, sample: 25.162, missed_samples: 0 , time: 866693556 #
aggregator, node_id: 3, sample: 32.361, missed_samples: 0 , time: 870193543 #
aggregator, node_id: 2, sample: 52.991, missed_samples: 0 , time: 870974842 #
aggregator, node_id: 3, sample: 69.647, missed_samples: 0 , time: 875685742 #
aggregator, node_id: 2, sample: 32.221, missed_samples: 0 , time: 875959178 #
aggregator, node_id: 3, sample: 42.986, missed_samples: 0 , time: 880865446 #
aggregator, node_id: 2, sample: 34.867, missed_samples: 0 , time: 881310740 #
aggregator, node_id: 2, sample: 19.778, missed_samples: 0 , time: 885466995 #
aggregator, node_id: 3, sample: 45.514, missed_samples: 1 , time: 886334190 #
aggregator, node_id: 2, sample: 17.257, missed_samples: 0 , time: 891263852 #
aggregator, node_id: 3, sample: 68.557, missed_samples: 0 , time: 892185742 #
aggregator, node_id: 2, sample: 48.054, missed_samples: 0 , time: 895404422 #
aggregator, node_id: 3, sample: 65.184, missed_samples: 0 , time: 896818559 #
aggregator, node_id: 2, sample: 16.017, missed_samples: 0 , time: 899995880 #
aggregator, node_id: 3, sample: 27.182, missed_samples: 0 , time: 901584199 #
aggregator, node_id: 2, sample: 31.106, missed_samples: 0 , time: 905066428 #
aggregator, node_id: 3, sample: 73.475, missed_samples: 1 , time: 907119723 #
aggregator, node_id: 2, sample: 59.233, missed_samples: 0 , time: 909373249 #
aggregator, node_id: 3, sample: 73.247, missed_samples: 0 , time: 912068574 #
aggregator, node_id: 2, sample: 76.015, missed_samples: 0 , time: 914880973 #
aggregator, node_id: 3, sample: 33.520, missed_samples: 0 , time: 916826365 #
